"CODE","LOCATION","TYPE","RATING (MAX = 5)","Address","Description","Long Description","Tags_Creation_Description","Ticket Info","image_path","open_time","close_time","coordinate","tags","image_url"
"FB019","Vietnam House Restaurant","F&B","4.8","93-95-97 Dong Khoi, Ho Chi Minh City","Vietnam House Restaurant serves authentic Vietnamese cuisine.","Located in a beautifully restored colonial building, Vietnam House Restaurant offers a sophisticated dining experience with a focus on traditional Vietnamese flavors. The menu showcases classic dishes prepared with high-quality ingredients and modern culinary techniques. Guests can enjoy the elegant ambiance, attentive service, and a curated selection of Vietnamese wines and cocktails. It is a perfect place to experience fine Vietnamese dining in a refined setting.","","70.0","https://ak-d.tripcdn.com/images/0105o12000khxndpu2F0E.jpg","11:30","21:30","10.774962, 106.7040873","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888619/FB019.jpg"
"FB020","Bun Cha 145","F&B","3.6","145 Bui Vien | Pham Ngu Lao Ward, District 1","Bun Cha 145 is a popular spot for its authentic Hanoi bun cha.","Bun Cha 145 is known for serving up generous portions of bun cha, featuring grilled pork patties, fresh herbs, and rice vermicelli noodles served with a flavorful dipping sauce. The restaurant provides an authentic Hanoi culinary experience in a bustling and casual setting, popular among locals and tourists alike. It's a great spot to savor the true taste of Northern Vietnam. Guests can enjoy the lively atmosphere while indulging in the savory and satisfying flavors of bun cha.","","6.0","https://ak-d.tripcdn.com/images/0105a12000fetjd8b926A.jpg","11:00","16:00","10.7663698, 106.6918038","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888628/FB020.jpg"
"FB021","Pho Mien Ga Ky Dong","F&B","4.7","5 14, Bis Ky Dong Street Ward 9, District 3, Ho Chi Minh City 70000 Vietnam","A Vietnamese restaurant specializing in Ky Dong-style pho and mien ga.","Pho Mien Ga Ky Dong is a humble eatery specializing in comforting bowls of pho and mien ga, prepared in the distinctive Ky Dong style. The flavorful broth is simmered to perfection and served with tender chicken and chewy noodles. This local favorite provides a genuine taste of Vietnamese comfort food in a simple and unpretentious atmosphere. It is an ideal spot for a quick, satisfying, and affordable meal.","","7.0","https://ak-d.tripcdn.com/images/0102l12000d602ysv6A4F.png","05:30","22:30","10.7839022, 106.6819786","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888639/FB021.png"
"FB022","Jaspas Restaurant","F&B","4.2","33 Dong Khoi St, District 1, Ho Chi Minh City, Ho Chi Minh City 70000","Jaspas is a casual restaurant serving varied Western fare.","Jaspas Restaurant provides a diverse menu with options ranging from salads and sandwiches to pasta and steaks. The atmosphere is relaxed and inviting, making it a suitable place for both casual lunches and dinners with friends or family. Offering a mix of international flavors, Jaspas caters to a wide range of tastes. Patrons can enjoy a comfortable setting with friendly service, making for a pleasant dining experience.","","20.0","https://ak-d.tripcdn.com/images/10060k000000caia2A5D9.jpg","07:30","00:00","10.773607, 106.70559","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888648/FB022.jpg"
"FB023","94 Restaurant","F&B","4.5","94 Dinh Tien Hoang, DaKao Ward, District 1","It is a restaurant named ""94 Restaurant.""","94 Restaurant offers a diverse menu with a mix of Vietnamese and international dishes, prepared with fresh ingredients. The restaurant provides a comfortable and casual setting for diners to enjoy a variety of flavors. Patrons can experience friendly service in an informal setting suitable for both lunch and dinner. The menu features a range of options catering to different preferences.","","15.0","https://ak-d.tripcdn.com/images/10030n000000eg1xuE827.jpg","06:00","21:00","10.790264, 106.6977304","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888653/FB023.jpg"
"FB024","Cha Ca La Vong","F&B","4.0","No 3-5 Ho Xuan Huong Street, Ward 6, District 3, Ho Chi Minh City 70000, Vietnam","Cha Ca La Vong is Hanoi's legendary restaurant specializing solely in its iconic turmeric-dill grilled fish dish.","Stepping into Cha Ca La Vong in Ho Chi Minh City is like taking a culinary journey to Hanoi, as the restaurant faithfully recreates the original dish. The dish features flaky white fish marinated in turmeric and galangal, pan-fried tableside with fragrant dill and spring onions, and served with vermicelli noodles, roasted peanuts, shrimp paste, and fresh herbs. This unique and flavorful dish is a must-try for anyone seeking an authentic taste of Hanoi's culinary heritage. It is a memorable and immersive dining experience.","","9.0","https://ak-d.tripcdn.com/images/100a0g0000007q6oxCE5F.jpg","11:00","22:00","10.778043, 106.68889","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888661/FB024.jpg"
"FB025","Den Long - Home Cooked Vietnamese Restaurant","F&B","4.1","130 nguyen trai, District 1 ho chi minh city","Den Long offers authentic home-cooked Vietnamese food.","Den Long aims to recreate the experience of dining in a Vietnamese home, serving dishes made with traditional recipes and fresh, locally sourced ingredients. The menu features a variety of classic Vietnamese dishes, from flavorful soups and stir-fries to savory clay pot specialties. The restaurant provides a warm and inviting atmosphere, complete with traditional decor and friendly service. It's a perfect spot to savor authentic Vietnamese flavors and experience the essence of home-cooked meals.","","11.0","https://ak-d.tripcdn.com/images/100v12000000t11ep15DD.jpg","11:00","22:00","10.7696967, 106.6907744","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888672/FB025.jpg"
"FB026","SORAE","F&B","4.6","Level 51, Bitexco Financial Tower, 2 Hai Trieu Street, Ben Nghe Ward, D1, HCMC, Ho Chi Minh City, Vietnam","SORAE offers exquisite modern Japanese cuisine alongside breathtaking panoramic views from its high-rise location.","Located on the 51st floor of the Bitexco Financial Tower, SORAE provides a luxurious dining experience with its sophisticated ambiance and contemporary decor. The restaurant boasts a menu of refined Japanese dishes, including sushi, sashimi, and grilled specialties, all prepared with the finest ingredients. Guests can enjoy their meal while taking in breathtaking panoramic views of the city skyline. SORAE is a perfect choice for a special occasion or a memorable evening out.","","104.0","https://ak-d.tripcdn.com/images/0106d12000d5zyz1x1210.jpg","11:00","23:00","10.7720023, 106.7042935","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888682/FB026.jpg"
"FB027","BEPMEIN 1 - LE THANH TON","F&B","4.2","136/9 Đ. Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh, Vietnam","BEPMEIN 1 - LE THANH TON is a Vietnamese noodle restaurant.","This Vietnamese restaurant specializes in flavorful noodle dishes. With a cozy atmosphere, it's a great place to enjoy a traditional Vietnamese meal. The menu features a variety of noodle soups and stir-fries, all made with fresh ingredients and authentic recipes. Enjoy the rich flavors and comforting ambiance of BEPMEIN 1 - LE THANH TON.","","8.0","https://ak-d.tripcdn.com/images/0103m12000bd2mraxD4A9.jpg","10:30","22:30","10.7738567, 106.6980798","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888692/FB027.jpg"
"FB028","Guanabana Smoothies","F&B","5.0","23 Ly Tu Trong, Quan 1, 23 Ly Tu Trong, District 1, Ho Chi Minh City 70000","Guanabana Smoothies offers refreshing drinks primarily made from soursop fruit.","Guanabana Smoothies is the place to go for a refreshing and healthy drink. They are known for using soursop, also known as guanabana, in their smoothies. The creamy and slightly tangy flavor of the soursop makes for a unique and delicious beverage. Whether you're looking for a quick pick-me-up or a healthy treat, Guanabana Smoothies has you covered.","","7.0","https://ak-d.tripcdn.com/images/100b0k000000cao7b543C.jpg","7:30","22:00","10.7804245, 106.7035507","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888701/FB028.jpg"
"FB029","Pho Quynh","F&B","4.3","323 Pham Ngu Lao, Ho Chi Minh City, Vietnam","An authentic Vietnamese noodle shop with a delicious and savory broth.","Pho Quynh is a popular spot for authentic Vietnamese pho. The rich, savory broth is the star of the show, simmered for hours with aromatic spices and tender beef. The noodles are perfectly cooked, and the dish is garnished with fresh herbs and flavorful toppings. It's a must-try for anyone craving a taste of traditional Vietnamese cuisine.","","3.0","https://ak-d.tripcdn.com/images/100s0n000000el6eaA3F6.jpg","0:00","23:59","10.7674471, 106.690655","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888705/FB029.jpg"
