CODE,LOCATION,TYPE,RATING (MAX = 5),Address,Description,Long Description,Tags_Creation_Description,Ticket Info,image_path,open_time,close_time,coordinate,tags,image_url
AC012,THANH LONG HOTEL - TRA KHUC,Accommodation,4.5,18 Trà Khúc,A budget-friendly hotel option located near Tan Son Nhat International Airport.,"THANH LONG HOTEL - TRA KHUC is a 3-star hotel in Ho Chi Minh City. Rated 9.1/10 by 454 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Superior Double Room (with Window, Non Smoking)' with 1 double bed. Easy to get around|Close to airport",Easy to get around|Close to airport,~₫825000/night (approx. $33),https://ak-d.tripcdn.com/images/1mc2z12000cz7be7tE502_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.805785, 106.665339",Easy to get around|Close to airport,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882018/AC012.webp
AC013,Sunrise Airport Hotel,Accommodation,4.2,"33 Bach Dang Street, Ward 2","Conveniently situated close to Tan Son Nhat International Airport, offering comfortable stays.",Sunrise Airport Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.3/10 by 706 reviews. Guests praise its location near Near Tan Son Nhat International Airport. The most popular room is 'Standard Double Room' with 1 queen bed. Close to airport|Easy to get around,Close to airport|Easy to get around,~₫425000/night (approx. $17),https://ak-d.tripcdn.com/images/1mc6c12000e00zv0f2DFA_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.814555, 106.671037",Close to airport|Easy to get around,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882020/AC013.webp
AC014,Luxury Home Landmark 81,Accommodation,4.4,"Landmark 81, 720A Dien Bien Phu",Offers luxurious accommodation within the iconic Landmark 81 skyscraper.,Luxury Home Landmark 81 is a 5-star hotel in Ho Chi Minh City. Rated 8.8/10 by 879 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is 'Standard Apartment Two Bedroom' with 2 queen beds. Great view|Many amenities,Great view|Many amenities,~₫2250000/night (approx. $90),https://ak-d.tripcdn.com/images/1mc0e12000doa5ujxAB04_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795112, 106.722096",Great view|Many amenities,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882022/AC014.webp
AC015,M Village Hotel Nguyen Du,Accommodation,4.8,"149 - 151 Nguyen Du, Ben Thanh Ward","A stylish hotel in the heart of District 1, providing easy access to city attractions.",M Village Hotel Nguyen Du is a 3-star hotel in Ho Chi Minh City. Rated 9.5/10 by 99 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Superior Room With Window - No View' with 1 queen bed. Great location|Great stay!,Great location|Great stay!,~₫6750000/night (approx. $270),https://ak-d.tripcdn.com/images/1mc5x12000lxky96d4282_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77243, 106.69302",Great location|Great stay!,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882023/AC015.webp
AC016,Hotel Nikko Saigon,Accommodation,4.7,235 Đ. Nguyễn Văn Cừ,A sophisticated hotel offering Japanese hospitality and modern amenities.,"Hotel Nikko Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.4/10 by 1,203 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Deluxe King Room' with 1 king bed. Delicious breakfast|Great swimming pool",Delicious breakfast|Great swimming pool,~₫4325000/night (approx. $173),https://ak-d.tripcdn.com/images/02235120008coecfr4940_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.764129, 106.682928",Delicious breakfast|Great swimming pool,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882025/AC016.webp
AC017,Sheraton Saigon Grand Opera Hotel,Accommodation,4.7,"88 Dong Khoi, Sai Gon Ward",A luxurious hotel located next to the Saigon Opera House.,"Sheraton Saigon Grand Opera Hotel is a 5-star hotel in Ho Chi Minh City. Rated 9.3/10 by 476 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Guest Room, 1 King Bed' with 1 king bed. Delicious breakfast|Located downtown",Delicious breakfast|Located downtown,~₫4825000/night (approx. $193),https://ak-d.tripcdn.com/images/1mc3112000icibkvj724E_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.775446, 106.703878",Delicious breakfast|Located downtown,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882026/AC017.webp
AC018,"Vinpearl Landmark 81, Autograph Collection",Accommodation,4.7,720A Điện Biên Phủ,"A high-end hotel within Landmark 81, providing exceptional views and premium services.","Vinpearl Landmark 81, Autograph Collection is a 5-star hotel in Ho Chi Minh City. Rated 9.3/10 by 555 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is 'Premier Twin Room with Sky view' with 2 single beds. Great view|Delicious breakfast",Great view|Delicious breakfast,~₫6625000/night (approx. $265),https://ak-d.tripcdn.com/images/1mc3a12000c3zrkgmC552_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795225, 106.721888",Great view|Delicious breakfast,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882028/AC018.webp
AC019,The Reverie Saigon,Accommodation,4.7,"22 - 36 Nguyen Hue, 57 - 69F Dong Khoi",An opulent hotel known for its extravagant design and world-class service.,The Reverie Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.4/10 by 328 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Deluxe King Room' with 1 king bed. Well decorated|Luxurious,Well decorated|Luxurious,~₫6500000/night (approx. $260),https://ak-d.tripcdn.com/images/02258120008cv8r9j44AD_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77374, 106.704549",Well decorated|Luxurious,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882030/AC019.webp
AC020,Ibis Saigon Airport,Accommodation,4.4,2 Đ. Hồng Hà,A practical and affordable hotel option located near Tan Son Nhat International Airport.,"Ibis Saigon Airport is a 4-star hotel in Ho Chi Minh City. Rated 8.8/10 by 1,246 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Standard Twin Room' with 2 single beds. Close to airport|Offers pick-up/drop-offs",Close to airport|Offers pick-up/drop-offs,~₫1650000/night (approx. $66),https://ak-d.tripcdn.com/images/20050m000000dm4evA7F5_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.81301, 106.666183",Close to airport|Offers pick-up/drop-offs,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882031/AC020.webp
AC021,Sedona Suites Ho Chi Minh City,Accommodation,4.6,"67 Le Loi Boulevard, Saigon Ward",Offers spacious and comfortable serviced apartments in the heart of District 1.,Sedona Suites Ho Chi Minh City is a 5-star hotel in Ho Chi Minh City. Rated 9.2/10 by 289 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Grand Two-Bedroom' with 2 queen beds. Convenient for shopping|Great view,Convenient for shopping|Great view,~₫6350000/night (approx. $254),https://ak-d.tripcdn.com/images/1mc5z12000jjn8kns2843_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.772939, 106.700488",Convenient for shopping|Great view,https://res.cloudinary.com/dgc2a1loy/image/upload/v1761882032/AC021.webp
